name,lat ,lon
church saint germain des pres,48.854017,2.333723
ukranian church valdimir the great,48.854197,2.330835
scottish presbyterian church ,48.8668212,2.3075959
church st Marie,48.87186,2.348373
church notre-dame des Foyers,48.8866279,2.3692988999999898
church notre dame de la sagesse,48.835685,2.373586
church Saint-Michel des batignolles,48.8889822,2.3250293999999485
orthodox russian cathedral,48.862131,2.301089
church saint-louis-en-l'île,48.851204,2.358155
church of saint-sacrement,48.874277,2.301959
old church saint-honoré d'elyau,48.869303,2.284319
church notre-dame de grâce de Passy,48.856253,2.280049
church Saint Jean ,48.857871,2.307924
church Saint Merri,48.85887,2.35082
reformated church of saint-esprit,48.873228,2.319857
church of Saint-Esprit,48.8384782,2.3981046
church Saint-jeanne of Chantal,48.838522,2.256422
church Saint-albert the great,48.86879,2.277422
church Notre-Dame de la nativité de Bercy,48.8360354,2.3869987
church sainte Genevieve d'auteuil,48.841483,2.261537
church Notre-Dame du Signe,48.843915,2.258696
church of the russian Saints,48.841004,2.261545
church Notre-Dame de clignacourt,48.892747,2.344849
church Saint Francois de Sales,48.884399,2.304506
church Sainte-Marguerite,48.85255,2.381098
church Sainte-rita,48.844582,2.306174
church Notre-Dame de Fatima,48.879263,2.402634
church Sainte-Anne de la Butte aux Cailles,48.826244,2.349901
Temple of Humanity,48.857794,2.36191
church Saint-Pierre deChaillot,48.867814,2.299105
church of Auteuil,48.847302,2.269195
church of Saint Antoine,48.848831,2.373747
church Saint Marcel,48.837993,2.360196
church Sainte-rosalie,48.83008,2.34971
church Saint dominique,48.832046,2.335013
church Notre-Dame du Travail,48.835668,2.317148
church of the trois Saints-Hierarques,48.841314,2.299283
church Saint-Lambert of Vaugirard,48.837382,2.292225
temple of the baptiste protestian church,48.858724,2.329141
reformated church of Port-royale,48.836235,2.34916
church Saint-Pierre du gros Caillou,48.859614,2.305159
Temple of Pentémint-Luxembourg,48.856382,2.321828
church Saint-Jacques Saint-Christophe,48.8891499,2.37952580000
church Saint-Philippe du roulé,48.873167,2.310471
church Saint-sulpice,48.850927,2.331091
cathedral Saint Jean Sainte Croix,48.861099,2.36073
synagogue Notre-Dame de Nazareth,48.866916,2.359889
Cathedral Saint-Jean Baptiste,48.865897,2.306869
church Saint-joseph des Carmes,48.84817,2.330554
church Notre-Dame des Champs,48.84341035843679,2.3278636150211014
chapel Notre-Dame des Anges,48.846291,2.323787
church Saint-Ferdinand Sainte-Thérèse,48.878645,2.29081
church Saint-Jean de Montmartre,48.884416,2.338071
Buddhiste Temple,48.828489,2.415324
church Saint-Jean Baptiste of Belleville,48.87569,2.399282
church Saint-Pierre de Montrouge,48.828384,2.326998
church Sant-serge de Radonège,48.883352,2.383656
chapell Sainte-Bernadette,48.847637,2.268721
Cathedral Saint Etienne,48.867664,2.296802
church Sainte Marie des Batignolles ,48.886621,2.315061
church Saint Seraphin de Sarov,48.842975,2.304242
synagogue of the Buffault street,48.876041,2.342317
basilique Sainte Clotilde,48.85866,2.319419
church of Saint augustin ,48.8758,2.319194
chapell Notre-Dame de la consolation,48.865483,2.306056
church Saint-Vincent de Paul,48.878705,2.351879
Synagogue of the Street Pavée,48.855997,2.360554
temple of Marais,48.853459,2.366242
synagogue of victory,48.875526,2.336453
chapell of the Medaille Miraculeuse,48.850928,2.323724
Mosquée de Paris,48.841854,2.35471
church Notre-Dame de la Croix,48.868421,2.38698
church Saint-Laurent,48.874811,2.357833
church Saint Francois d'Assise,48.880237,2.391718
church of billettes,48.857982,2.354931
Sacred-heart basilica,48.886183,2.34312
church Saint-Pierre de Montmarte,48.886683,2.341499
Trinity church,48.877037,2.331503
chapell of saints-Archanges,48.849552,2.34709
church Saint Severin,48.85222,2.345485
church Saint-Jacques du haut pas,48.843474,2.34152
church Saint Medard,48.839926,2.350552
church Saint julien le pauvre,48.852101,2.346951
church saint eugene Sainte cécile ,48.873097,2.347259
church saint nicolas du chardonnet,48.848881,2.35018
church Saint Paul Saint Louis,48.854851,2.361587
church Saint gervais Saint Protais,48.855618,2.354448
church Saint-denys du saint Sacrement,48.859942,2.364754
church Sainte Elisabeth of Hungary,48.866026,2.360746
church Notre Dale de l'assomption,48.867404,2.325673
church saint eustache,48.8634,2.344507
church Saint-Germain de charonne,48.860327,2.404133
chapell Saint Louis de la Salpetriere,48.838606,2.36081
church notre dame des blancs manteaux,48.858955,2.357758
american  chuch,48.862297,2.306686
church saint-thomas d'aquin,48.856215,2.327374
chapell of Missions etrangeres,48.851875,2.322949
church saint germain l'auxerrois,48.859593,2.340927
church Notre Dale de Lorette,48.876119,2.338801
church saint etienne du mont,48.846581,2.347596
russian cathedral,48.87764,2.301921
church Notre dame des otages,48.870269,2.405026
church Notre Dame de Bonne Nouvelle,48.8697,2.349929
church Saint-joseph artisan,48.881849,2.367054
chapell of lariboisière hospital,48.883365,2.353102
church Saint Louis D'antin,48.874521,2.328279
church saint nicolas des champs,48.865613,2.353708
oratory temple,48.861875,2.340337
